epoch,train_context_loss,train_text_loss,train_rating_loss,train_loss,val_context_loss,val_text_loss,val_rating_loss,val_loss
1,736.1172463234636,195.98068145997829,1.6767296,933.1427,651.2199826171078,105.21240939497348,1.444973705487848,757.4471743175944
2,602.7376969094056,91.37829455279254,1.3964078,695.11804,614.6852902037481,79.88541813984757,1.3640240033082194,695.5768690050253
3,579.3832790086211,74.22363667710107,1.2886271,654.59735,609.99279548122,70.01301672894472,1.1950696103441032,680.9949765030489
4,564.1068601683633,65.41070937766156,1.1893915,630.498,590.4880809666723,64.53227057497871,1.1835893955887462,656.0089511573425
5,552.9850585211674,59.850672295446046,1.1483696,613.8119,583.5768786233859,61.184521200061994,1.1587735921867142,645.7477448214279
6,543.8130023311909,55.850227944273094,1.1310297,600.63763,571.8442001652852,57.024872366085674,1.138823241984,629.853121046833
7,536.122049421337,52.73987691698563,1.1191233,589.83527,579.3201930783742,56.660785972261536,1.1710386989650856,636.9682849766475
8,516.9456169329404,45.38829313921019,1.0864568,563.3041,562.062116183398,51.12858999134843,1.1268305749828438,614.1741430930143
9,513.0276500399509,43.67807108962091,1.0800118,557.67523,560.3911849473602,50.41836334770501,1.1304064914627519,611.7933463503186
10,509.99466881988116,42.702580339942905,1.0787461,553.6666,558.6526528526094,49.83094891244258,1.129034266300738,609.4672362602461
11,507.42148206078997,41.86768282839041,1.0758363,550.25836,558.2345138172043,49.37812123431782,1.1286310458160163,608.5962135878499
12,504.79869071850095,41.13260707855675,1.0730815,546.90015,556.7935464084471,49.28305557702197,1.1266929587846122,607.0599254446157
13,502.3499217902075,40.45796363770604,1.0691175,543.7764,556.6030836459669,49.06487941033965,1.129923974831745,606.6517601515794
14,499.87227096991364,39.84608916301492,1.0677849,540.6868,557.74710815283,48.84000561770044,1.1351734944388892,607.5714830950536
15,493.68968801467275,38.21513457934538,1.0580256,532.8724,556.4309690529338,48.01323088597674,1.12751958705521,605.4278056270492
16,492.44241837595536,37.86776410123667,1.0558158,531.2776,555.4264134903563,48.0077776254075,1.1286389520397242,604.4177763108357
17,491.64750795809425,37.661083758673136,1.0561433,530.27594,555.9464998321015,47.972765861125545,1.1285902075115393,604.9029646108047
18,489.7573781849096,37.221156302463974,1.0534176,527.9457,555.9290346288126,47.89960664020607,1.1298577054742467,604.812453762256
19,489.10485076040163,37.07185502400213,1.0508415,527.1436,556.1263342117813,47.89799386217398,1.1296315213757504,605.0081473308873
